Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-10 00:00:00+05:30,104.48964349834509,106.42643019010957,103.13389133645897,105.74855041503906,73880698,0.0,0.0
2022-08-11 00:00:00+05:30,106.813786935741,107.1527231225792,105.16751384669797,105.6517105102539,75321498,0.0,0.0
2022-08-12 00:00:00+05:30,105.89380717226052,109.3316063846011,105.36119528370025,109.08950805664062,95942333,0.0,0.0
2022-08-16 00:00:00+05:30,110.1063162696381,110.1063162696381,107.58849514408018,109.4284439086914,69207437,0.0,0.0
2022-08-17 00:00:00+05:30,109.91264536539714,109.91264536539714,108.70215367635092,108.94425201416016,54008422,0.0,0.0
2022-08-18 00:00:00+05:30,108.94424553187282,109.42844217868115,107.87901438654542,108.99266815185547,49396425,0.0,0.0
2022-08-19 00:00:00+05:30,108.99266904489372,109.33160522278574,106.08748914024001,106.57168579101562,57134813,0.0,0.0
2022-08-22 00:00:00+05:30,106.03906838159666,106.13590623580106,101.39077749723849,101.72972106933594,74037526,0.0,0.0
2022-08-23 00:00:00+05:30,100.9065808081126,104.82857670239555,100.22870844062761,104.1991195678711,70531639,0.0,0.0
2022-08-24 00:00:00+05:30,104.15070533932473,104.73173985823736,102.40759439433207,103.18231201171875,55686404,0.0,0.0
2022-08-25 00:00:00+05:30,103.66650992408067,104.48964278480861,102.40759562772864,102.89179229736328,42186335,0.0,0.0
2022-08-26 00:00:00+05:30,103.86018576421057,105.74854982280335,103.71492528549076,103.95702362060547,71257092,0.0,0.0
2022-08-29 00:00:00+05:30,100.76133101279551,102.31075889499066,99.98661337757048,101.53604125976562,59895805,0.0,0.0
2022-08-30 00:00:00+05:30,103.13388798020274,105.07067460893894,102.69811394403897,104.87699890136719,67401780,0.0,0.0
2022-09-01 00:00:00+05:30,103.61808284073904,104.34437781392178,102.55285169105524,103.03704833984375,52454732,0.0,0.0
2022-09-02 00:00:00+05:30,103.61808682843971,103.61808682843971,101.68130015874925,102.16549682617188,45601352,0.0,0.0
2022-09-05 00:00:00+05:30,102.69811501561878,103.90860667120951,102.45601668450064,103.52124786376953,40352735,0.0,0.0
2022-09-06 00:00:00+05:30,104.00544198070202,105.36119407943552,102.69811250230899,105.16751098632812,59505849,0.0,0.0
2022-09-07 00:00:00+05:30,104.15070433491057,105.45803383692,103.71492290873763,104.1991195678711,43945660,0.0,0.0
2022-09-08 00:00:00+05:30,104.97383862924944,104.97383862924944,102.02023601239425,102.50443267822266,71228405,0.0,0.0
2022-09-09 00:00:00+05:30,103.61808325351461,103.95701943136585,102.16549330136255,102.35916900634766,63647166,0.0,0.0
